"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"23","Social distancing","Mass gathering cancellation","Sport events",""
"24","Travel restriction","National lockdown","",""
"25","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces","Police and military forces"
"26","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas","All Albanian citizens"
"27","Travel restriction","Stop public transports","","Public transport ban in Shkod�r-Lezh�, Elbasani-Kor��, Lushnj�-Fieri, and Fieri-Vlor� roads"
"28","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Private vehicles banned"
"29","Travel restriction","Stop public transports","",""
"30","Social distancing","Curfew","Time restriction","each day, all citizens were required to return to stay in their homes from 18:00 onward"
"31","Risk communication","Educate and actively communicate with the public","",""
"32","Healthcare and public health capacity","Activate notification of cases","Covid-19 as a notifiable disease",""
"33","Healthcare and public health capacity","Activate emergency response mechanisms","Nationwide guidelines",""
"34","Risk communication","Actively communicate with healthcare professionals","",""
"35","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Denial entry of travellers from Italy"
"36","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Passengers from South Korea, Iran and Northern Italy need medical certificate to enter Austria"
"37","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China","Passengers from Iran and South Korea"
"38","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from China",""
"39","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from China","Direct flights"
"40","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Airport stopping flights to Spain, France, Switzerland"
"41","Case identification, contact tracing and related measures","Border health check","Health certificate requested","People from Italy"
"42","Case identification, contact tracing and related measures","Border health check","Health certificate requested","Health Checks at Italian border"
"43","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Borders closed for people from Switzerland"
"44","Risk communication","Call for return of nationals living abroad","","Quarantine for all incoming nationals"
"45","Travel restriction","Cancellation of international flights","Partial","China"
"48","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of universities, research institutions"
"49","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of kindergardens"
"50","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of primary and secondary schools"
"51","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","38 billion euros"
"52","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Message for pregnant women, elderly and at risk profesions"
"53","Risk communication","Educate and actively communicate with the public","Answer to questions","Telephone hotlines covid-19"
"54","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Press Conference"
"55","Risk communication","Educate and actively communicate with the public","Advice for special populations","Recommendation to reduce contact to hospital patients"
"57","Risk communication","Educate and actively communicate with the public","The Foreign Ministry raises the securtiy risk for China (level 2)","Ministry advises on postponing not crucial travel to China"
"58","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units",""
"59","Healthcare and public health capacity","Enhance healthcare capacity - Funds","For medical services",""
"60","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Tests are established at more sites"
"61","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","200 additional medical professionals for testing at people's homes"
"62","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts",""
"63","Case identification, contact tracing and related measures","Enhance detection system","Test cases and suspected cases",""
"64","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","People are only allowed to leave their homes to do work which cannot be postponed, run important errands or help others."
"65","Travel restriction","Individual movement restrictions","Non-essential movements forbidden",""
"66","Case identification, contact tracing and related measures","Isolation of cases","Pandemic plan",""
"67","Case identification, contact tracing and related measures","Isolation of cases","","Kaiser-Franz-Josef-Spital"
"69","Social distancing","Mass gathering cancellation","Cultural events","Indoor events limited up to 100 people"
"70","Social distancing","Mass gathering cancellation","Limit up to 500 persons","Sporting events"
"71","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Close hospitals for visitors"
"72","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Some supermarkets offer one hour for people at risk (elderly people)"
"73","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Cashiers"
"74","Travel restriction","Partial cancellation of international flights","Flights to China","Austrian Airlines - China"
"75","Social distancing","Partial closure of educational institutions","Closure of educational institutions","Closure of kindergardens"
"76","Social distancing","Return operation of nationals living abroad","Quarantine","Last returns"
"77","Social distancing","Return operation of nationals living in regions at risk","Hubei","Quarantine"
"79","Social distancing","Return operation of nationals living in regions at risk","Italy","Quarantine"
"80","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces","A team from Donau-Universit�t Krems is hired to conduct studies by the WHO. This ""Rapid Response Team"" consists of 10 scientific reasearchers and students."
"81","Social distancing","Small gathering cancellation","Closure of non-essential shops",""
"82","Social distancing","Small gathering cancellation","Closure of rehabilitation institutions",""
"83","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes",""
"84","Social distancing","Small gathering cancellation","Limit up to 5 persons",""
"85","Social distancing","Small gathering cancellation","Mandatory home office","Place of work may only be entered if work cannot be done at home"
"86","Social distancing","Small gathering cancellation","Partial closure of essential shops","Supermarkets may open until 7pm"
"87","Social distancing","Small gathering cancellation","Partial closure of public spaces","parks, playgrounds"
"88","Social distancing","Small gathering cancellation","Start of possible implementation of part-time work",""
"89","Risk communication","Educate and actively communicate with the public","Promote the 2m distance",""
"90","Travel restriction","Travel restriction to high-risk areas","No direct flights to South Korea, Iran and Northern Italy",""
"91","Risk communication","Actively communicate with stakeholders","","Health agencies and Carinthian government"
"92","Travel restriction","Cordon sanitaire","One region",""
"93","Travel restriction","Cordon sanitaire","More than one city","5 towns in Tyrol"
"95","Travel restriction","Airports closing for domestic flights","Toal","Last regular AUA flight lands in Vienna"
"96","Travel restriction","Cancellation of international flights","Toal","Last regular AUA flight lands in Vienna"
"97","Healthcare and public health capacity","Increase patient capacity","Beds",""
"98","Healthcare and public health capacity","Increase patient capacity","Emergency hospitals",""
"101","Social distancing","Closure of educational institutions","Reduction of excursions, out-of-house events",""
"102","Risk communication","Educate and actively communicate with the public","Activate communication to the public","press conference, national TV"
"103","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","National TV"
"104","Risk communication","Educate and actively communicate with the public","Recommendation for home office",""
"105","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase number of FFP2 and FFP3 respirators and surgical masks"
"108","Social distancing","Mass gathering cancellation","Cultural events","Celebrations of Chinese New Year"
"110","Social distancing","Mass gathering cancellation","Festivals, faith-based events",""
"111","Social distancing","Mass gathering cancellation","Limit up to 1000 persons",""
"113","Travel restriction","Non-essential travels forbidden","",""
"115","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases","Triage system for tests"
"117","Case identification, contact tracing and related measures","Enhance detection system","Search for and/or monitor contacts",""
"119","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","total"
"120","Social distancing","Small gathering cancellation","Police and army control and sanctions",""
"121","Case identification, contact tracing and related measures","Tracing and monitoring","Cases",""
"122","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Partial quarantine"
"123","Risk communication","Actively communicate with healthcare professionals","Health agencies and emergency healthcare",""
"124","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene",""
"125","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine",""
"126","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Do not touch eyes/nose/mouth"
"127","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Sneeze/cough in the elbow"
"128","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote the use of face mask"
"129","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state",""
"132","Social distancing","Closure of educational institutions","Complete closure of educational institutions","All"
"133","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, etc."
"134","Social distancing","Measures for special populations","Quarantine","<18 and elderly"
"137","Travel restriction","Individual movement restrictions","Curfew",""
"141","Social distancing","Closure of educational institutions","Closure of primary and secondary schools",""
"145","Social distancing","Measures for special populations","Quarantine","elderly"
"150","Risk communication","Actively communicate with stakeholders","",""
"152","Healthcare and public health capacity","Activate emergency response mechanisms","",""
"153","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases",""
"154","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","level 2 (of 3)"
"155","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces",""
"156","Healthcare and public health capacity","Enhance emergency response mechanisms"," Public Health Emergency of International Concern",""
"157","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","National"
"158","Healthcare and public health capacity","Reduce the burden on health systems","Promote self-initiated isolation of people with mild respiratory symptoms",""
"159","Case identification, contact tracing and related measures","Quarantine","Quarantine law approved","For nationals returning from Wuhan"
"161","Case identification, contact tracing and related measures","Quarantine","Contact persons",""
"162","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","Specify regional or national"
"163","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas",""
"164","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas",""
"165","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas",""
"166","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Universities are mobilized"
"167","Case identification, contact tracing and related measures","Isolation of cases","",""
"169","Risk communication","Educate and actively communicate with the public","Encourage people to follow the experts recommendations","President on TV"
"171","Healthcare and public health capacity","Research","Clinical trials on COVID-19",""
"172","Case identification, contact tracing and related measures","Isolation of cases","Scale up the system","Police intervention"
"173","Travel restriction","Denial entry to boats with more than 100 passengers","All","Cruise ship Silver Shadow"
"174","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","All incomings"
"175","Healthcare and public health capacity","Enhance emergency response mechanisms","Emergency Operations Center (COE) of the Municipal Health Secretariat (Sesau)",""
"176","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","R$10�billion (US$2.1�billion)�"
"177","Travel restriction","Border restriction","Borders closed","Venezuela only"
"179","Risk communication","Educate and actively communicate with the public","","President on TV"
"180","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","Public calamity situation"
"181","Travel restriction","Non-essential travels forbidden","Interstate travels forbidden",""
"182","Resource allocation","Fixing maximum price for necessity goods","Food",""
"184","Risk communication","Actively communicate with stakeholders","Promote social distancing measures",""
"187","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","Emergency situation"
"188","Travel restriction","Airports closing for domestic flights","Between Rio de Janeiro and Sao Paulo",""
"189","Risk communication","Actively communicate with stakeholders","Recommend closure of shops and gyms",""
"190","Social distancing","Closure of educational institutions","Complete closure of educational institutions","All incomings"
"191","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Land borders"
"192","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Elderly residents of communities hosted in hotels"
"193","Resource allocation","Crisis management plans","Implement repurpose community services plans","Protect women against domestic violence"
"194","Risk communication","Communicate with special populations","Guidelines for three groups of traditional peoples and communities: quilombolas, gypsies and indigenous people","Right to the correct information for the prevention of COVID-19"
"199","Case identification, contact tracing and related measures","Airport health check","Measure temperature for all passengers",""
"200","Travel restriction","Airport restriction","","Calgary International Airport, Montr�al�Trudeau International Airport, Toronto Pearson International Airport, Vancouver International Airport"
"202","Travel restriction","Border restriction","Borders closed to all non-citizens",""
"203","Travel restriction","Border restriction","Borders closed to all non-citizens","except permanent residents"
"204","Travel restriction","Cancellation of international flights","","air bridges"" between one or more of its Canadian hubs and the cities of London, Paris, Frankfurt, Delhi, Tokyo and Hong Kong�"
"208","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans",""
"209","Resource allocation","Crisis management plans","Implement repurpose government plans","Announce �$1 billion response fund"
"210","Resource allocation","Crisis management plans","Research","$27 million in funding to 47 research groups at 19 universities, to develop means of managing the outbreak"
"211","Resource allocation","Crisis management plans","Research",""
"212","Travel restriction","Denial entry to boats with more than 100 passengers","",""
"213","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Airports Montreal, Toronto, Vancoover"
"214","Risk communication","Educate and actively communicate with the public","Discourage non-essential travels",""
"216","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Recommendation for home office"
"218","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for not touching eyes/nose/mouth"
"219","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"221","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","Emergency Operations Centre"
"222","Healthcare and public health capacity","Increase availability of PPE","Face masks and other PPE",""
"223","Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators",""
"224","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)",""
"225","Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","interim national case definition"
"227","Social distancing","Mass gathering cancellation","Conferences, meetings, trade fairs, etc.",""
"231","Social distancing","Mass gathering cancellation","Limit up to 250 persons","Limit up gathering to 250 persons"
"232","Social distancing","Mass gathering cancellation","Limit up to 50 persons","Limit up gathering to 50 persons"
"233","Social distancing","Measures for special populations","Measures to limit contact to hospital patients",""
"235","Case identification, contact tracing and related measures","Quarantine","All incomings","Quarantine Act"
"238","Social distancing","Return operation of nationals living in regions at risk","Grand Princess cruise ship",""
"241","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","total with exceptions"
"242","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas","complete (all airports)"
"245","Case identification, contact tracing and related measures","Specific health channel for travellers","From China","Airports Montreal, Toronto, Vancoover"
"249","Social distancing","Return operation of nationals living in regions at risk","Diamond Princess",""
"254","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Recommendation to reduce contact to hospital patients"
"259","Risk communication","Actively communicate with healthcare professionals","Sensitization of hospital, medico-social and liberal health professionals",""
"261","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China",""
"262","Case identification, contact tracing and related measures","Border health check","Measure temperature",""
"264","Healthcare and public health capacity","Case management","Implement triage procedures",""
"269","Resource allocation","Crisis management plans","Implement repurpose government plans","New prime minister nominated with new focus on health"
"270","Risk communication","Educate and actively communicate with the public","Activate communication to the public",""
"271","Risk communication","Educate and actively communicate with the public","Enhance communication to the public",""
"273","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","EU�s Integrated Crisis Response activated"
"274","Healthcare and public health capacity","Enhance emergency response mechanisms","Train medical staff specially for covid-19",""
"275","Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",""
"276","Case identification, contact tracing and related measures","Enhance detection system","",""
"280","Social distancing","Mass gathering cancellation","Indoor activities","fitness gym, music classes..."
"283","Social distancing","Mass gathering cancellation","Limit up to 100 persons",""
"284","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Recommend the elderly to stay at home"
"295","Healthcare and public health capacity","Increase patient capacity","Increase ICU capacity",""
"298","Case identification, contact tracing and related measures","Airport health check","Health screening","All foreigners"
"299","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","South Korea and Northern Italy"
"300","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Italy, South Korea"
"301","Travel restriction","Airport restriction","Denial entry of travellers from China",""
"303","Risk communication","Call for return of nationals living abroad","",""
"305","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of universities"
"306","Risk communication","Educate and actively communicate with the public","Activate communication to the public","webpage of health ministry about coronavirus:  https://koronavirus.mzcr.cz"
"310","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Region of Lombardia and Venezia"
"311","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Italy"
"313","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase purchase"
"314","Healthcare and public health capacity","Increase in medical supplies and equipment","Ban on exportation of medical equipment and drugs",""
"315","Healthcare and public health capacity","Increase availability of PPE","Face masks","100 tons of masks from China"
"316","Healthcare and public health capacity","Increase availability of PPE","Face masks","Respirators"
"317","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","Mask FFP3"
"319","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Test imported from China"
"320","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","announcement: this was done before but said on this date"
"324","Social distancing","Mass gathering cancellation","Cultural events",""
"325","Social distancing","Mass gathering cancellation","Indoor activities",""
"327","Social distancing","Small gathering cancellation","Limit up to 30 persons",""
"328","Social distancing","Mass gathering cancellation","Limit up to 5000 persons","Events above persons must be reported to the regional hygiene authority"
"333","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Special shopping hours for elderly people above 65 years - 10:00-12:00"
"336","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Italy"
"337","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","For people who have permanent or temporary residence in Czech Republic"
"338","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","high-risk areas defined above"
"339","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations",""
"340","Social distancing","Measures for special populations","Recommendation not to visit weekend houses",""
"345","Social distancing","Mandatory use of masks","Obligation to wear a face mask out of home","Mandatory protection of respiratory tract - mask, scarf, home-made masks�"
"347","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"350","Travel restriction","Travel restriction to high-risk areas","China, Korea, Iran, Italy, Spain, Austria, Germany, Switzerland, Sweden, Norway, Belgium, United Kingdom, Denmark, France",""
"351","Healthcare and public health capacity","Repurpose hospitals","Special section for covid19 patients","Severe cases"
"353","Travel restriction","Border restriction","Borders closed to refugees",""
"355","Travel restriction","Cancellation of international flights","Partial","Mainland China, parts of South Korea, Iran, Italy, Tyrol in Austria"
"356","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of secondary schools"
"359","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of primary schools"
"360","Travel restriction","Denial entry to boats with more than 100 passengers","All",""
"361","Risk communication","Use of public transport","Discourage use of public transport",""
"369","Social distancing","Small gathering cancellation","Limit up to 10 persons",""
"372","Social distancing","Mass gathering cancellation","Meetings of the parliament",""
"374","Social distancing","Measures for special populations","Measures to limit contact to the elderly","require all healthcare workers that have travelled to a region of high risk to stay at home for two weeks"
"375","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Strong recommendation that elderly do not take care of children."
"377","Social distancing","Public transport","Increase service","More busses and trains added to the schedule"
"378","Social distancing","Public transport","Stricter limits on number of passengers allowed in public transports","Busses and trains"
"381","Social distancing","Small gathering cancellation","Closure of non-essential shops","total"
"385","Travel restriction","Train transport restrictions","Only people with reservations allowed in intercity trains",""
"386","Travel restriction","Cordon sanitaire","One region","ship in quarantaine for 14 days + "
"387","Risk communication","Educate and actively communicate with the public","Activate communication to the public","all passengers get thermometer, in case of fever call number"
"390","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts"," People with symptoms and close contacts tested. Those who tested positive were taken off the ship for isolation and care. Tested negative remained on the ship. "
"393","Case identification, contact tracing and related measures","Enhance detection system","Test vulnerable population","passengers  >80 and chronic diseases"
"394","Social distancing","Obligatory confinement","","Passengers quarantined in their cabins, allowed out of the cabin one hour per day."
"398","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts","Change to testing all passengers, starting with >80 and chronic diseases"
"399","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts","Health screening "
"402","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases","Health screening "
"403","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces","crew members were provided with personal protective equipment (PPE) and instructed on appropriate IPC practices"
"404","Case identification, contact tracing and related measures","Scale up the system","Testing all passengers",""
"405","Returning to normal life","Support for the return to normal life","Lift quarantine","end of quarantine, disembarkation of passengers starts "
"406","Returning to normal life","Support for the return to normal life","Lift quarantine","disembarkation passengers finished "
"407","Returning to normal life","Support for the return to normal life","Lift quarantine","disembarktion  crew starts"
"408","Returning to normal life","Support for the return to normal life","Lift quarantine","disembarkation of crew finished"
"411","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare health emergency",""
"412","Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients",""
"413","Case identification, contact tracing and related measures","Airport health check","Health screening","Medical assistance for people with respiratory symptoms"
"414","Travel restriction","Airports closing for domestic flights","",""
"415","Case identification, contact tracing and related measures","Border health check","",""
"418","Travel restriction","Border restriction","Land border",""
"423","Risk communication","Educate and actively communicate with the public","Activate communication to the public","airport, railway station / TV , poster, flyers, radio, social media"
"425","Risk communication","Educate and actively communicate with the public","Answer to questions","Online service covid-19"
"431","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","national"
"432","Case identification, contact tracing and related measures","Treatment of patients should not be compromised","Police and army control and sanctions","In case treatment of patient is compromised"
"433","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment",""
"436","Environmental measures","Environmental cleaning and disinfection","",""
"438","Travel restriction","Individual movement restrictions","",""
"440","Social distancing","Mass gathering cancellation","Limit up to 250 persons",""
"442","Social distancing","Mass gathering cancellation","Place of worship",""
"444","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Close long-term care facilities for visitors"
"445","Healthcare and public health capacity","Precautions for handling and disposal of dead bodies","Compulsory cremation",""
"449","Resource allocation","Fixing maximum price for necessity goods","Basic necessities and household gas",""
"451","Social distancing","Small gathering cancellation","Closure of non-essential working places",""
"453","Social distancing","Small gathering cancellation","",""
"454","Case identification, contact tracing and related measures","Specific health channel for travellers","from high-risk areas",""
"455","Travel restriction","Stop public transports","interprovincial",""
"456","Case identification, contact tracing and related measures","Surveillance","Implement community-based surveillance",""
"458","Case identification, contact tracing and related measures","Quarantine","All incomings",""
"459","Risk communication","Educate and actively communicate with the public","Activate communication to the public","public transport stations"
"460","Environmental measures","Environmental cleaning and disinfection","Metro, public places, malls",""
"461","Social distancing","Work safety protocols","",""
"462","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare National Security Zone",""
"467","Environmental measures","Environmental cleaning and disinfection","Markets","Closure and disinfection due to presence of one case"
"468","Social distancing","Mandatory use of masks in special cases","Public spaces",""
"469","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Saturday and Sunday"
"470","Returning to normal life","Regional traffic light","",""
"471","Healthcare and public health capacity","Increase availability of PPE","Ban export of PPE for healthcae professionals","24 products"
"473","Healthcare and public health capacity","Increase in medical supplies and equipment","Facilitate import","Suppression tariff on import"
"474","Risk communication","Educate and actively communicate with the public","Advice camping for not touching eyes/nose/mouth","Advice campaign fo sneezing/coughing in the elbow"
"477","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","South Korea and Italy"
"478","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Iran"
"479","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Airport, ports and borders sanitation to avoid sources of infection"
"480","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Germany and France"
"481","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Spain"
"482","Healthcare and public health capacity","Extend notification of cases","Extension of notification to suspected cases",""
"483","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare Orange Alert Statement ",""
"484","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Household quarantine for travelers"
"485","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of kindergardens, primary and secondary schools, universities"
"488","Social distancing","Mass gathering cancellation","Limit up to 500 persons",""
"489","Social distancing","Mass gathering cancellation","Festivals, faith-based events","Concerts"
"491","Environmental measures","Environmental cleaning and disinfection","Airports, ports and borders",""
"493","Case identification, contact tracing and related measures","Quarantine","Additional quarantine facilities","Enable shelters as containment centers for people who come from countries with potential risk"
"494","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare Red Alert Statement ",""
"495","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare Emergency state",""
"496","Social distancing","Mass gathering cancellation","Limit up to 75 persons",""
"497","Social distancing","Mass gathering cancellation","Closure of discotheques",""
"499","Healthcare and public health capacity","Increase patient capacity","Postponement of medical appointments",""
"500","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Elderly, pregnant women"
"501","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Vulnerable people"
"502","Social distancing","Mass gathering cancellation","Indoor activities","Fitness gym"
"503","Social distancing","Mass gathering cancellation","Limit up to 50 persons",""
"505","Travel restriction","Airport restriction","Airports closing for all international flights",""
"506","Resource allocation","Crisis management plans","Implement repurpose community services plans","For vulnerable populations"
"507","Case identification, contact tracing and related measures","Isolation of cases","Scale up the sytem","Police intervention"
"508","Travel restriction","Cordon sanitaire","One city","Metap�n city "
"509","Social distancing","Mass gathering cancellation","Closure maquila industry and call centers",""
"511","Social distancing","Special measures for certain establishments","Food services","Only delivery"
"514","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Closure of public squares and beaches"
"517","Social distancing","Small gathering cancellation","Increase delivery capacity for food products",""
"518","Social distancing","Public transport","Stricter limits on number of passengers allowed in public transports","Busses "
"522","Social distancing","Small gathering cancellation","Mandatory home office","By law"
"527","Case identification, contact tracing and related measures","Border health check","Health declaration","Health questionnaire for anyone entering the country at all border crossings, ports and airports."
"529","Travel restriction","Border restriction","Borders closed to all non-citizens and non-permanent residents","Estonia's borders closed to all except: citizens of Estonia, permanent residents, their relatives, and transport workers carrying out freight transport."
