id,Country,iso3,State,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Comment,Source
25,Albania,ALB,Albania,Albania,2020-03-14,Risk communication,Educate and actively communicate with the public,Encourage stay at home,Recommend the elderly to stay at home,"""Over 70s have been asked not to leave their homes.""",https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/
26,Albania,ALB,Albania,Albania,2020-03-15,Social distancing,Mass gathering cancellation,Cultural places and events,"theatres, cinemas, concerts, etc.","""All museums, cinemas, theatres, and public parks were closed indefinitely.""",https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/
27,Albania,ALB,Albania,"Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora",2020-03-15,Travel restriction,Public transport restriction,Public transport ban,"Public transport ban in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora",,https://www.tiranatimes.com/?p=144535
28,Albania,ALB,Albania,Albania,2020-03-16,Travel restriction,Border restriction,Land borders closed,"Montenegro, Kosovo, North Macedonia, and Greece","""On 15 March, Albania closed all of its land borders until further notice, making all travel from Montenegro, Kosovo, North Macedonia, and Greece prohibited.""",https://www.garda.com/crisis24/news-alerts/323096/albania-borders-closed-as-of-march-16-due-to-covid-19-update-2
29,Albania,ALB,Albania,Albania,2020-03-16,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: United Kingdom,All flights to and from UK are suspended,https://exit.al/en/2020/03/16/all-flights-between-uk-and-albania-banned-due-to-coronavirus-measures/
30,Albania,ALB,Albania,Albania,2020-03-16,Social distancing,Mass gathering cancellation,Closure of non-essential public places,Ban on sitting in public places,,https://exit.al/en/2020/03/16/albanian-government-imposes-1800-curfew-and-ban-on-sitting-in-public-places/
31,Albania,ALB,Albania,Albania,2020-03-16,Travel restriction,Individual movement restrictions,Curfew,Time restriction,Albanian government Imposes 18:00 curfew and ban on sitting in public places,https://exit.al/en/2020/03/16/albanian-government-imposes-1800-curfew-and-ban-on-sitting-in-public-places/
32,Albania,ALB,Albania,Albania,2020-03-16,"Case identification, contact tracing and related measures",Tracing and tracking,Contact tracing,,"Following the careful and professional work done by IPH and local care units, for the identification and tracking of cases, in the last 24 hours 31 suspects, citizens and health personnel have been tested, of which 9 cases have been confirmed. new with COVID-19. So far, 563 suspected cases have been tested and positive for COVID-19, 51 cases have been confirmed:",https://new.shendetesia.gov.al/ministria-e-shendetesise-9-raste-te-reja-me-covid-19-apel-per-qytetaret-te-bashkepunojne-me-stafet-mjekesore/
33,Albania,ALB,Albania,Albania,2020-03-16,"Case identification, contact tracing and related measures",Enhance detection system,Test contact or at risk of contact persons,,"Following the careful and professional work done by IPH and local care units, for the identification and tracking of cases, in the last 24 hours 31 suspects, citizens and health personnel have been tested, of which 9 cases have been confirmed. new with COVID-19. So far, 563 suspected cases have been tested and positive for COVID-19, 51 cases have been confirmed:",https://new.shendetesia.gov.al/ministria-e-shendetesise-9-raste-te-reja-me-covid-19-apel-per-qytetaret-te-bashkepunojne-me-stafet-mjekesore/
34,Albania,ALB,Albania,Albania,2020-03-16,Healthcare and public health capacity,Increase healthcare workforce,Mobilization of domestic resources for health,Recruitment of healthcare workers on the frontline,"2268 doctors, nurses, pharmacists, public health experts, medical students responded to the call of the Ministry of Health and Social Protection to join the front of the fight against COVID.",https://new.shendetesia.gov.al/covid-19-manastirliu-2268-mjeke-infermiere-e-studente-i-jane-pergjigjur-thirrjes-2/
35,Albania,ALB,Albania,Albania,2020-03-16,Healthcare and public health capacity,Increase in medical supplies and equipment,Ban on exportation of medical equipment and drugs,,"Entities that export medicines and medical equipment from the Republic of Albania, without special authorization of the Minister of Health and Social Protection, for carrying out this activity, are punished with a fine in the amount of 5 000 000 (five million)",https://new.shendetesia.gov.al/16-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
36,Albania,ALB,Albania,Albania,2020-03-16,Resource allocation,Police and army interventions,To support law enforcement,Sanctions are defined in case of violation of the law,Emergency Law: normative act - Fines are defined for each violation of the law,https://new.shendetesia.gov.al/16-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/ --- https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/
37,Albania,ALB,Albania,Albania,2020-03-16,Resource allocation,Crisis management plans,"State aid, taxation and social security",Support to families,"About 64,000 families will benefit from the doubling of economic aid payments throughout the natural disaster period.",https://new.shendetesia.gov.al/16-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/ --- https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/
38,Albania,ALB,Albania,Albania,2020-03-25,Healthcare and public health capacity,Increase availability of PPE,PPE for healthcare professionals,Import from Turkey,"Today, an amount of 50 thousand personal protective equipment has arrived for medical staff (purchase of the Albanian government in Turkey) which have started to be distributed in all hospitals, enabling the increase of stock for personal protective equipment and at the same time increasing the safety for medical staff.",https://new.shendetesia.gov.al/25-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
39,Albania,ALB,Albania,Albania,2020-03-25,Healthcare and public health capacity,Increase availability of PPE,Face masks,Import from Turkey,"Date of implementation?? It has also been achieved to increase the stock with 25 thousand masks ffp2 / ffp3 and in the future the supply of 140 thousand masks ffp2 / ffp3 is expected and the creation of a stock with plus 200 thousand specific masks ffp2 / ffp3 is planned. Meanwhile, we have at our disposal a stock of over 500 thousand simple and surgical masks as well as about 650 thousand sterile and non-sterile gloves.",https://new.shendetesia.gov.al/25-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
40,Albania,ALB,Albania,Albania,2020-03-25,Healthcare and public health capacity,Increase isolation and quarantine facilities,New isolation structure for non-severe cases,,"Date of implementation??A new structure is being set up, a quarantine hospital for non-serious cases. Within 20 days, the adaptation of a new structure, the quarantine hospital for non-serious cases, will begin.",https://new.shendetesia.gov.al/25-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
41,Albania,ALB,Albania,Albania,2020-03-25,Healthcare and public health capacity,Increase in medical supplies and equipment,Respirators,,"Date of implementation??The contract for the purchase of 54 respirators is being signed and the procedure for 100 other respirators is underway, which will arrive according to a well-defined calendar.",https://new.shendetesia.gov.al/25-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
42,Albania,ALB,Albania,Albania,2020-03-25,Healthcare and public health capacity,Reduce the number of patients in healthcare centres and hospitals,Health hotline,,Date of implementation??The Ministry has made available a free green line 0800 40 40 for any citizen seeking information or advice regarding COVID-19. ,https://new.shendetesia.gov.al/25-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
43,Albania,ALB,Albania,Albania,2020-03-28,Resource allocation,Crisis management plans,Financial aid for health system,, Date of implementation??2.5 billion has been allocated by the Albanian government for the health sector in the fight against COVID-19.,https://new.shendetesia.gov.al/28-mars-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
44,Albania,ALB,Albania,Albania,2020-03-29,Resource allocation,Provide international help,Send medical staff,To Lombardy (Italy),"This is what Albanian Prime Minister Edi Rama said , greeting a team of 30 Albanian doctors and nurses who left for Tirana airport to help colleagues engaged in the fight against coronavirus in Lombardy.",https://www.repubblica.it/esteri/2020/03/29/news/coronavirus_medici_albania_italia-252593099/
45,Albania,ALB,Albania,Albania,2020-04-10,Healthcare and public health capacity,Increase in medical supplies and equipment,Respirators,,"At the COVID Hospital 2 ""Shefqet Ndroqi"" 5 new respirators have been put into operation. In total, 54 respirators will come to the first shipment and then we will have the purchase of 50 other respirators, an investment of the Albanian government in the framework of increasing the capacity for the treatment of COVID-19.",https://new.shendetesia.gov.al/9-prill-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
46,Albania,ALB,Albania,Albania,2020-04-12,Healthcare and public health capacity,Increase availability of PPE,PPE for healthcare professionals,,"Eight tons of personal protective equipment for medical staff, funded by the Albanian government, have arrived in Albania as part of measures to cope with the situation caused by COVID19.(…) for doctors, nurses, epidemiologists, the structure of the National Emergency anywhere in the country.",https://new.shendetesia.gov.al/mberrijne-edhe-8-ton-mjete-te-mbrojtjes-personale-per-mjeket-manastirliu-mbrojtja-e-personelit-mjekesor-perparesi-e-jona/
47,Albania,ALB,Albania,Albania,2020-04-25,Healthcare and public health capacity,Increase availability of PPE,PPE for healthcare professionals,,"China donates 3 tons of medical aid, Rakacolli: Medical teams will help cope with the fight against COVID-19. The People's Republic of China has donated 3 tons of medical aid to Albania to cope with the situation created by the spread of COVID-19. The aid provided by China consists of 5,000 diagnostic kits as well as personal protective materials for medical staff.",https://new.shendetesia.gov.al/kina-dhuron-3-ton-ndihma-mjekesore-rakacolli-do-te-ndihmojne-ekipet-mjekesore-ne-perballimin-e-luftes-kunder-covid-19/
48,Albania,ALB,Albania,Albania,2020-04-25,Healthcare and public health capacity,Enhance laboratory testing capacity,Increase testing capacity (number tests),Increase test availability,"China donates 3 tons of medical aid, Rakacolli: Medical teams will help cope with the fight against COVID-19. The People's Republic of China has donated 3 tons of medical aid to Albania to cope with the situation created by the spread of COVID-19. The aid provided by China consists of 5,000 diagnostic kits as well as personal protective materials for medical staff.",https://new.shendetesia.gov.al/kina-dhuron-3-ton-ndihma-mjekesore-rakacolli-do-te-ndihmojne-ekipet-mjekesore-ne-perballimin-e-luftes-kunder-covid-19/
49,Albania,ALB,Albania,Albania,2020-04-27,Returning to normal life,Partial lift of the curfew,Increased allowed time out of home,from 90 min to 2h,"Starting Monday, April 27, the band of citizens' movement will expand from 90 minutes to 2 hours, maintaining the security parameters of social distancing and expanding the possibility of performing essential services in a wider time span.",https://new.shendetesia.gov.al/lehtesimi-i-masave-manastirliu-nga-e-hena-fasha-e-levizjes-zgjerohet-ne-2-ore-fjala-e-plote-e-ministres-se-shendetesise-dhe-mbrojtjes-sociale-ogerta-manastirliu/
50,Albania,ALB,Albania,Albania,2020-04-27,Returning to normal life,Re-opening of certain shops,"Clothing stores, textiles, leather shoes and articles, stores showing furniture, lighting fixtures and household items, flower shops, plants, pets and their food in specialty stores, shops of electronic devices, children's toys, sports equipment, telecommunication equipment.",,,https://new.shendetesia.gov.al/lehtesimi-i-masave-manastirliu-nga-e-hena-fasha-e-levizjes-zgjerohet-ne-2-ore-fjala-e-plote-e-ministres-se-shendetesise-dhe-mbrojtjes-sociale-ogerta-manastirliu/
51,Albania,ALB,Albania,Albania,2020-04-27,Returning to normal life,Re-opening of services,Taxi service,Respect of sanitary conditions and social distance,"These businesses are allowed to exercise their activity only by completing and implementing the approved protocols, ensuring the mandatory hygienic and sanitary conditions and respecting the physical distance, to guarantee the safety of citizens and employees.",https://new.shendetesia.gov.al/lehtesimi-i-masave-manastirliu-nga-e-hena-fasha-e-levizjes-zgjerohet-ne-2-ore-fjala-e-plote-e-ministres-se-shendetesise-dhe-mbrojtjes-sociale-ogerta-manastirliu/
52,Albania,ALB,Albania,Albania,2020-04-27,Returning to normal life,Re-opening of certain shops,With adaptive measures,Respect of sanitary conditions and social distance,"These businesses are allowed to exercise their activity only by completing and implementing the approved protocols, ensuring the mandatory hygienic and sanitary conditions and respecting the physical distance, to guarantee the safety of citizens and employees.",https://new.shendetesia.gov.al/lehtesimi-i-masave-manastirliu-nga-e-hena-fasha-e-levizjes-zgjerohet-ne-2-ore-fjala-e-plote-e-ministres-se-shendetesise-dhe-mbrojtjes-sociale-ogerta-manastirliu/
53,Albania,ALB,Albania,"Green areas: Counties of Diber and Gjirokaster and the municipalities of Sarande, Konispol, Himare, Delvine, Finiq, Prrenjas, Pogradec, Librazhd and Divjake",2020-04-27,Returning to normal life,Special relief for movements,In areas with a low risk of transmission,Green areas are defined,,https://new.shendetesia.gov.al/lehtesimi-i-masave-manastirliu-nga-e-hena-fasha-e-levizjes-zgjerohet-ne-2-ore-fjala-e-plote-e-ministres-se-shendetesise-dhe-mbrojtjes-sociale-ogerta-manastirliu/
54,Albania,ALB,Albania,"Green areas: Counties of Diber and Gjirokaster and the municipalities of Sarande, Konispol, Himare, Delvine, Finiq, Prrenjas, Pogradec, Librazhd and Divjake",2020-04-27,Returning to normal life,Special relief for movements,Segmentation of the population,Special hours for the elderly to cover their basic needs,"The movement of pensioners will be from 6:00 to 08:30 in the morning. Other citizens will move from 09:30 to 17:30, accompanied by no more than one person",https://new.shendetesia.gov.al/lehtesimi-i-masave-manastirliu-nga-e-hena-fasha-e-levizjes-zgjerohet-ne-2-ore-fjala-e-plote-e-ministres-se-shendetesise-dhe-mbrojtjes-sociale-ogerta-manastirliu/
55,Albania,ALB,Albania,"Green areas: Counties of Diber and Gjirokaster and the municipalities of Sarande, Konispol, Himare, Delvine, Finiq, Prrenjas, Pogradec, Librazhd and Divjake",2020-04-27,Returning to normal life,Special relief for movements,With adaptive measures,Private transports,"As far as private means of transport are concerned, they will be allowed to circulate without authorization only within the District or the respective Municipalities from 09:30 to 17:30, with only one passenger.",https://new.shendetesia.gov.al/lehtesimi-i-masave-manastirliu-nga-e-hena-fasha-e-levizjes-zgjerohet-ne-2-ore-fjala-e-plote-e-ministres-se-shendetesise-dhe-mbrojtjes-sociale-ogerta-manastirliu/
56,Albania,ALB,Albania,"Green areas: municipalities of Tropoje, Rrogozhine, Peqin, Belsh, Cerrik, Gramsh, Ura Vajgurore, Kucove, Berat, Poliçan, Skrapar, Devoll, Pustec, Maliq, Mallakaster, Kolonje, Vlore and Selenice",2020-05-04,Returning to normal life,Special relief for movements,In areas with a low risk of transmission,,,https://new.shendetesia.gov.al/4-maj-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
57,Albania,ALB,Albania,"Green areas: municipalities of Tropoje, Rrogozhine, Peqin, Belsh, Cerrik, Gramsh, Ura Vajgurore, Kucove, Berat, Poliçan, Skrapar, Devoll, Pustec, Maliq, Mallakaster, Kolonje, Vlore and Selenice",2020-05-04,Returning to normal life,Special relief for movements,Segmentation of the population,Special hours for the elderly to cover their basic needs,"The movement of pensioners will be from 6:00 to 08:30 in the morning. Other citizens will move from 09:30 to 17:30, accompanied by no more than one person",https://new.shendetesia.gov.al/4-maj-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
58,Albania,ALB,Albania,"Green areas: municipalities of Tropoje, Rrogozhine, Peqin, Belsh, Cerrik, Gramsh, Ura Vajgurore, Kucove, Berat, Poliçan, Skrapar, Devoll, Pustec, Maliq, Mallakaster, Kolonje, Vlore and Selenice",2020-05-04,Returning to normal life,Special relief for movements,With adaptive measures,Private transports,"As far as private means of transport are concerned, they will be allowed to circulate without authorization only within the District or the respective Municipalities from 09:30 to 17:30, with only one passenger.",https://new.shendetesia.gov.al/4-maj-2020-informacion-i-perditesuar-per-koronavirusin-covid-19/
59,Austria,AUT,Austria,Austria,2020-01-27,Risk communication,Travel alert and warning,Warning against travel to and return from high risk areas,China,Ministry of Foreign Affairs advises against the unnecessary travel to the main affected central Chinese province of Hubei due to the spread of the corona virus.,https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/
60,Austria,AUT,Austria,Austria,2020-01-27,"Case identification, contact tracing and related measures",Airport health check,Temperature screening at airport,Measure temperature of passengers from China,,https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/
61,Austria,AUT,Austria,Austria,2020-01-27,Risk communication,Educate and actively communicate with the public,Answer to questions,Telephone hotline covid-19,,https://www.ots.at/presseaussendung/OTS_20200224_OTS0129/neuartiges-coronavirus-ages-infoline-0800-555-621-ab-sofort-7-tage-in-der-woche-0-24-uhr
62,Austria,AUT,Austria,Austria,2020-01-28,"Case identification, contact tracing and related measures",Activate case notification,Covid-19 as a notifiable disease,,,https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10010265
63,Austria,AUT,Austria,Austria,2020-01-28,Risk communication,Educate and actively communicate with the public,The Foreign Ministry raises the securtiy risk for China (level 2),Ministry advises on postponing not crucial travel to China,The Austrian Ministry of Foreign Affairs has issued an increased security risk (security level 3) for China since Tuesday,https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/
64,Austria,AUT,Austria,Austria,2020-01-28,"Case identification, contact tracing and related measures",Isolation of cases,Epidemic plan,,,https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10010265
65,Austria,AUT,Austria,Austria,2020-01-29,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: China,Lufthansa and its subsidiaries Swiss and AUA (Austrian Airlines) canceled their flights to and from China because of the new corona virus.,https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/
66,Austria,AUT,Austria,Austria,2020-02-02,Social distancing,Return operation of nationals,Return operation of nationals in Wuhan and/or Hubei,Special measure: Quarantine,,https://www.diplomatie.gouv.fr/en/country-files/china/news/article/coronavirus-2019-ncov-repatriation-operations-involving-direct-flights
67,Austria,AUT,Austria,Austria,2020-02-03,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: China,AUA announced they will not be flying to China anymore. Air China is still flying to Vienna airport.,https://www.austrian.com/Info/Flightinformation/Travel%20Alerts.aspx?sc_lang=en&cc=US
68,Austria,AUT,Austria,Austria,2020-02-06,"Case identification, contact tracing and related measures",Airport health check,Temperature screening at airport,Measure temperature of passengers from China,"Starting today, Thursday February 6, 2020, the temperature at Vienna Airport will be measured because of the corona virus in passengers on direct flights from China. The first incoming plane is checked, in this case Air China flight CA841 from Beijing,",https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/
69,Austria,AUT,Austria,Austria,2020-02-10,Resource allocation,Activate or establish emergency response,Risk management plan,Set up crisis unit (national),,https://www.derstandard.at/story/2000114365338/coronavirus-60-weitere-faelle-auf-kreuzfahrtschiff-in-japan
70,Austria,AUT,Austria,Carinthia,2020-02-23,Risk communication,Educate and actively communicate with the public,Answer to questions,Official webpage with COVID-19 information,AGES webpage: Information is also available at www.ages.at/themen/krankheitserreger/coronavirus . ,https://www.ots.at/presseaussendung/OTS_20200223_OTS0024/corona-virus-weitere-vorgehensweise-fuer-kaernten-festgelegt
71,Austria,AUT,Austria,Austria,2020-02-24,Risk communication,Educate and actively communicate with the public,Information campaign,Press Conference,Information camgaign by interior ministry and Department of Health,https://www.derstandard.at/story/2000114938296/coronavirus-verdachtsfall-legte-bahn-am-brenner-vier-stunden-lahm
72,Austria,AUT,Austria,Austria,2020-02-24,Risk communication,Educate and actively communicate with the public,Answer to questions,Telephone hotline covid-19,By AGES (Austrian Agency for Health and Food Safety),https://www.ots.at/presseaussendung/OTS_20200224_OTS0129/neuartiges-coronavirus-ages-infoline-0800-555-621-ab-sofort-7-tage-in-der-woche-0-24-uhr
73,Austria,AUT,Austria,Austria,2020-02-24,Risk communication,Educate and actively communicate with the public,Answer to questions,Webpage of Health Ministry,"information on the corona virus on the homepage of the Federal Ministry for Social Affairs, Health, Care and Consumer Protection",https://www.sozialministerium.at/Themen/Gesundheit/Uebertragbare-Krankheiten/Infektionskrankheiten-A-Z/Neuartiges-Coronavirus.html
74,Austria,AUT,Austria,Austria,2020-02-27,Resource allocation,Activate or establish emergency response,Risk management plan,Nationwide guidelines,"Health Minister Rudolf Anschober (Greens) announced on Thursday nationwide guidelines for dealing with the corona virus. These are to come into force on Friday by decree. These include the areas of kindergarten, school, businesses, traffic use and behavior in private areas.",https://www.derstandard.at/jetzt/livebericht/2000115088241/1000180564/coronaviruserster-bestaetigter-fall-in-wien
